Ученическая улица, 12
Тимакова улица, 16
Санаторий Приморье п, 2
Лазарева улица, 15
Порт-Артурский 6-й переулок, 6
Блока улица, 28
Двинская улица, 3
Римского-Корсакова 3-й переулок, 31
Чкалова улица, 23
Римского-Корсакова 2-й переулок, 10
Белгородская улица, 14
Снежная улица, 20
Зорге улица, 1
Экскаваторная 2-я улица, 16
Проселочный переулок, 17
Татарская улица, 8
Павелецкая улица, 32
Николая Островского улица, 3
Бурлинская улица, 23
Пилотов улица, 6
Золотистый переулок, 27
Шушинская улица, 39
Красногорский переулок, 2
Цветной проезд, 5
Кометная улица, 26
Внешняя улица, 20
Бирюзова улица, 19
Каменская улица, 19
Левобережная улица, 5
Огинского улица, 33
Новый переулок, 39
Берёзовская улица, 38
Михаила Перевозчикова улица, 3
Петухова улица, 6
Инструментальный переулок, 3
Покрышкина улица, 25
Скрябина улица, 39
Юргинская улица, 28
Партизанская улица, 16
Водопроводная улица, 24
Экскаваторная 2-я улица, 21
Мира 1-й переулок, 19
Лесозаводская улица, 38
Планетная улица, 37
Потёмкина улица, 25
Алтайский 2-й переулок, 20
Ольховский 2-й переулок, 20
Ярослава Гашека улица, 25
Суходольная улица, 11
Читинская улица, 19
Качалова улица, 28
Индустриальная улица, 24
Бийский Пеший Спуск улица, 34
Одоевского улица, 35
Александра Невского улица, 7
Учхозовская улица, 20
Ключ-Камышенское Плато улица, 28
Белинского улица, 1
Карская улица, 5
Кирзаводская 2-я улица, 32
Комсомольский проспект, 4
Сухановская улица, 37
Порядковый 3-й переулок, 21
Буровая улица, 26
Васильковая улица, 38
Пестеля 2-я улица, 5
Почтовый 3-й переулок, 17
Белореченская улица, 37
Ставропольская улица, 8
Травяная улица, 35
Кирова площадь, 19
Приморская улица, 12
Смоленская улица, 37
Зеленая Горка улица, 4
Чукотский 9-й переулок, 17
Сухарная улица, 25
Якушева улица, 33
Ремонтная улица, 21
Черняховского 2-я улица, 21
Отрадная улица, 20
Кузнечная улица, 5
Подгорная улица, 20
Андриена Лежена улица, 12
Ольховский 2-й переулок, 17
Колибровая улица, 13
Балластный 1-й переулок, 34
Луговской переулок, 15
Ольховский 1-й переулок, 10
Забалуева 3-й переулок, 29
Каштановая 2-я улица, 17
Сивашская улица, 26
Дунайская улица, 16
Новикова переулок, 32
Отель Олимпийский улица, 35
Песочный переулок, 16
Таманский 1-й переулок, 28
Средний переулок, 15
Гомельская улица, 21
Шлюзовая улица, 29
Сухановская улица, 16
Зеленый Бор улица, 1
Выставочная улица, 35
Универсальная улица, 31
Шевцовой переулок, 26
Набережная Плющихи улица, 2
Южная улица, 23
Красноармейская улица, 10
Кривощёковская улица, 38
Красногорский 3-й переулок, 7
Союза Молодежи улица, 22
Светлановский 1-й тупик, 40
Успенского 9-й переулок, 33
Есенина улица, 11
Корчагина улица, 33
Ельцовский Лог улица, 4
Комсомольская улица, 27
Промышленная улица, 11
Ошанина улица, 25
Лазо улица, 38
Суходольная улица, 31
Почтовый 1-й переулок, 22
Пионерская улица, 8
101-й квартал, 25
Дмитрия Донского улица, 33
Шушинская улица, 18
Печорская улица, 3
Костонаева улица, 30
Полярная улица, 13
Смоленская улица, 23
Свердлова площадь, 3
Бирюсинка улица, 25
Красных Зорь улица, 17
Олега Кошевого улица, 3
Высотная улица, 32
Таганрогская улица, 8
Новогодняя улица, 30
Красный Факел улица, 37
Таганрогская улица, 25
Актюбинский переулок, 10
Литовская улица, 3
Трубопроводная улица, 33
Песочный переулок, 27
Черняховского 2-я улица, 15
Новослободский переулок, 22
Шапошникова улица, 38
Тубинская улица, 6
Двинская улица, 8
Мосина улица, 10
Алма-Атинская 2-я улица, 21
Зыряновская улица, 7
Шевцовой 5-я улица, 36
Зеленхозовская улица, 35
Сельскохозяйственный переулок, 6
Бердское шоссе, 27
Абхазская улица, 34
Приовражная улица, 34
