1 Кирзавод улица
101-й квартал
12 Декабря улица
19 км казарма
1905 года улица
2 Кирзавод улица
20 Партсъезда улица
23 км казарма
25 лет Октября улица
3 Интернационала улица
3 Сентября улица
30 лет Октября улица
31 км казарма
4 Пятилетки улица
40 лет Комсомола улица
40 лет Октября улица
5 Декабря улица
6 Пятилетки 1-й переулок
8 Кордон улица
8 Марта улица
87 Квартал тер
9 Гвардейской Дивизии улица
9 Ноября улица
91 Перекат улица
Абаканская улица
Абразивная улица
Абхазская улица
Авиастроителей улица
Авиационная улица
Автогенная улица
Автомобильная улица
Автономная улица
Агатовая улица
Агрономическая улица
Азербайджанская улица
Азовский переулок
Азолина переулок
Айвазовского Малая улица
Айвазовского улица
Академика Коптюга проспект
Академика Лаврентьева проспект
Академика Трофимука улица
Академическая улица
Акмолинская улица
Аксенова улица
Актюбинский переулок
Албазинская улица
Алданская улица
Алейская улица
Александра Невского улица
Алексеева переулок
Алеутская улица
Алма-Атинская 2-я улица
Алма-Атинская улица
Алмазная улица
Алтайская улица
Алтайский 1-й переулок
Алтайский 2-й переулок
Алтайский переулок
Алуштинская улица
Альпийская улица
Альпийский переулок
Амбулаторная улица
Амбулаторный переулок
Амурская улица
Амурский 1-й переулок
Амурский 2-й переулок
Амурский 3-й переулок
Ангарная улица
Андреева улица
Андриена Лежена улица
Анжерская улица
Аникина улица
Анисовая улица
Анодная улица
Аносова улица
Апрельская улица
Аральская улица
Арбатская улица
Арбузова улица
Аргунский переулок
Аренского улица
Арзамасская улица
Арктическая улица
Армавирская улица
Артёма улица
Артиллерийская улица
Архитектурная 2-я улица
Архитектурная улица
Архонский переулок
Астраханская улица
Астрономическая улица
Асфальтный переулок
Ачинская улица
Ашхабадская улица
Аэропорт улица
Бабушкина улица
Баганская улица
Баженова улица
База Геологии улица
Базисная улица
Базовая улица
Байдукова улица
Байкальская улица
Байкальский переулок
Бакинская улица
Балакирева улица
Балканская улица
Балластная улица
Балластный 1-й переулок
Балластный 2-й переулок
Балластный переулок
Балтийская улица
Балхашская улица
Барабинская улица
Баргузинская улица
Бардина улица
Барнаульский переулок
Барнаульский тупик
Барышевская улица
Барышевский переулок
Барьерная улица
Бассейный переулок
Батарейная улица
